User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Jerry Brooks,Female,25,129170,0
10001,Curtis Irwin,Male,27,96047,1
10002,Sandra Carpenter,Female,22,16708,1
10003,Dustin Wilson,Female,34,77327,0
10004,Catherine Roberts,Male,58,40300,0
10005,Edgar Adkins,Female,33,145054,1
10006,Sarah Miller,Male,47,109553,-1
10007,Mrs. Lorraine Pearson,Male,39,65945,0
10008,Joseph Hanna,Female,40,31248,1
10009,Shane Rodriguez,Female,57,32932,0
10010,Jeremy Barker,Male,22,50063,0
10011,Amy Flores,Male,54,92662,0
10012,Pamela Brown,Male,26,22524,0
10013,Lisa Washington,Female,30,133622,0
10014,Mary Reynolds,Female,48,29180,1
10015,Richard Johnson,Female,53,92443,1
10016,Eric Adams,Male,57,117437,1
10017,Maureen Taylor,Male,53,124406,1
10018,Matthew Goodwin,Male,39,143122,0
10019,Shannon Oneill,Male,23,26891,0
10020,Debra Berger,Male,47,98098,0
10021,Michael Dunlap,Female,32,12081,1
10022,Robert White,Female,56,104801,0
10023,Makayla Nichols,Female,41,64504,0
10024,Patricia Boyer,Male,41,35343,1
10025,Brent Cummings,Female,24,90825,0
10026,Aaron Sherman,Male,20,35821,0
10027,Devon Clark,Female,34,108904,-1
10028,Kelly Ellison,Female,30,46575,1
10029,John Gordon,Female,48,66639,0
10030,Bryan Vargas,Female,58,18724,1
10031,Mark Rogers,Male,35,73321,-1
10032,Kevin Cox,Female,34,21488,1
10033,George Watkins,Female,57,144962,0
10034,David Randall,Female,46,136824,1
10035,Aaron Smith,Male,46,134722,1
10036,Barbara Harris,Female,38,56572,1
10037,Jeremy Hancock,Male,28,20817,0
10038,Craig Medina,Female,21,78612,0
10039,Robin Campbell,Female,50,32137,0
10040,George Martinez,Male,55,91937,1
10041,Jonathan Jackson,Female,30,67136,1
10042,Cheryl Juarez,Female,57,33188,0
10043,Christopher Hughes,Female,24,71084,0
10044,Connie Bass,Female,31,15826,1
10045,William Moran,Female,57,72814,0
10046,Maria Rojas,Male,37,114917,1
10047,Susan Miller DVM,Male,34,59294,0
10048,Eugene Gomez,Female,36,146724,1
10049,Amy Logan,Male,50,32203,0
